"","Entity","CUI","Freq","Tid","Tname"
"1105","receptive language ability","C1406026",7,"T048","Mental or Behavioral Dysfunction"
"1106","personality disorders","C0031212",7,"T048","Mental or Behavioral Dysfunction"
"1110","comorbid anxiety","C0009488",7,"T033","Finding"
"1112","aberrant behavior","C0233942",7,"T048","Mental or Behavioral Dysfunction"
"1113","cerebral folate deficiency","C2751584",7,"T047","Disease or Syndrome"
"1115","learning disorders","C0023186",7,"T048","Mental or Behavioral Dysfunction"
"1116","mental health difficulties","C0025353",7,"T041","Mental Process"
"1122","anorexia nervosa","C0003125",7,"T048","Mental or Behavioral Dysfunction"
"1125","generalised anxiety disorder","C0270549",7,"T048","Mental or Behavioral Dysfunction"
"1129","rare variants","C4015845",7,"T033","Finding"
"1131","comorbid disorder","C0009488",7,"T033","Finding"
"1135","inattentive symptoms","C4068325",7,"T033","Finding"
"1137","emotional lability","C0085633",7,"T048","Mental or Behavioral Dysfunction"
"1149","significant interaction between stimulus","C1319490",6,"T033","Finding"
"1150","hyperactive/impulsive trait","C2231354",6,"T048","Mental or Behavioral Dysfunction"
"1151","significant main or interaction effects","C1319490",6,"T033","Finding"
"1156","subjective qol","C0518214",6,"T184","Sign or Symptom"
"1157","obsessive-compulsive disorder (ocd","C0028768",6,"T048","Mental or Behavioral Dysfunction"
"1160","depressed mood","C0344315",6,"T048","Mental or Behavioral Dysfunction"
"1165","turner’s syndrome","C0041408",6,"T047","Disease or Syndrome"
"1166","two disorders","C3166321",6,"T033","Finding"
"1169","oppositional defiant disorder (odd)","C0029121",6,"T048","Mental or Behavioral Dysfunction"
"1171","cognitive dysfunction","C0338656",6,"T048","Mental or Behavioral Dysfunction"
"1174","obsessional traits","C0233692",6,"T048","Mental or Behavioral Dysfunction"
"1175","hyperactivity/impulsivity and odd symptoms","C2231354",6,"T048","Mental or Behavioral Dysfunction"
"1176","smith–magenis syndrome","C0795864",6,"T047","Disease or Syndrome"
"1177","idintellectual disability","C0231170",6,"T033","Finding"
"1180","significant interaction effects","C1319490",6,"T033","Finding"
"1182","motor impairments","C0556280",6,"T033","Finding"
"1183","behavioural difficulties","C0582141",6,"T033","Finding"
"1184","neuropsychiatric diseases","C0752335",6,"T047","Disease or Syndrome"
"1189","lack of awareness","C0589402",6,"T033","Finding"
"1190","social behavioral deficits","C0562445",6,"T033","Finding"
"1192","mthfr polymorphism","C4017063",6,"T033","Finding"
"1196","nutritional deficiencies","C0162429",6,"T047","Disease or Syndrome"
"1197","significant increase","C4062396",6,"T033","Finding"
"1203","cross-disorder pgrss","C0577392",6,"T033","Finding"
"1205","blue lines","C0266911",6,"T033","Finding"
"1206","affective speech recognition","C0597498",6,"T041","Mental Process"
"1212","sensory problems","C0260717",6,"T033","Finding"
"1213","brain overgrowth","C1849265",6,"T033","Finding"
"1215","similar symptoms","C0239112",6,"T033","Finding"
"1216","cognitive impulsivity","C0564567",6,"T048","Mental or Behavioral Dysfunction"
"1217","slightly disagree","C3843224",6,"T033","Finding"
"1218","brain changes","C1399608",6,"T048","Mental or Behavioral Dysfunction"
"1220","cognitive disorders","C0009241",6,"T048","Mental or Behavioral Dysfunction"
"1221","significant difference between wt","C0428676",6,"T033","Finding"
"1223","allergic comorbidities","C0009488",6,"T033","Finding"
"1227","ha et","C0018681",6,"T184","Sign or Symptom"
"1228","blue circles","C0231706",6,"T184","Sign or Symptom"
"1231","social communication impairment","C1998998",6,"T033","Finding"
"1234","disruptive behavior disorders","C0012734",6,"T048","Mental or Behavioral Dysfunction"
"1235","chimpanzee srs","C0175693",6,"T047","Disease or Syndrome"
"1237","placental insufficiency","C0032051",6,"T047","Disease or Syndrome"
"1238","child’s behavior","C0008065",6,"T055","Individual Behavior"
"1239","repetitive behaviour","C0038271",6,"T055","Individual Behavior"
"1240","specific hypotheses","C2372007",6,"T041","Mental Process"
"1242","polycystic ovary syndrome","C0032460",6,"T047","Disease or Syndrome"
"1243","repetitive and stereotyped behaviors","C0038271",6,"T055","Individual Behavior"
"1248","neurodegenerative disease","C0524851",6,"T047","Disease or Syndrome"
"1249","low self-esteem","C0679136",6,"T033","Finding"
"1250","down's syndrome","C0013080",6,"T047","Disease or Syndrome"
"1257","mitochondrial disorders","C0751651",6,"T047","Disease or Syndrome"
"1259","inflammatory diseases","C1290884",6,"T047","Disease or Syndrome"
"1264","restricted and repetitive behavior","C1827547",6,"T033","Finding"
"1266","anxiety-related behaviors","C4018849",6,"T048","Mental or Behavioral Dysfunction"
"1267","complex emotions","C0013987",6,"T041","Mental Process"
"1269","lower scores","C0578778",6,"T033","Finding"
"1274","somatic symptoms","C3839861",6,"T184","Sign or Symptom"
"1276","genetic defects","C0743921",6,"T047","Disease or Syndrome"
"1277","impaired sociability","C0558182",6,"T054","Social Behavior"
"1285","chronic disease","C0008679",6,"T047","Disease or Syndrome"
"1291","restricted, repetitive and stereotyped behaviours","C0038271",6,"T055","Individual Behavior"
"1295","early brain overgrowth","C0265209",6,"T047","Disease or Syndrome"
"1296","irritability scores","C2825576",6,"T033","Finding"
"1297","total problems","C0033213",6,"T033","Finding"
"1298","abc irritability","C0152244",6,"T047","Disease or Syndrome"
"1303","priori hypotheses","C2372007",6,"T041","Mental Process"
"1306","stereotyped body movements","C0038271",6,"T055","Individual Behavior"
"1310","stereotyped movements","C0038271",6,"T055","Individual Behavior"
"1314","tourette syndrome","C0040517",6,"T047","Disease or Syndrome"
"1317","tourette’s syndrome","C0040517",6,"T047","Disease or Syndrome"
"1319","long-term memory","C0423909",6,"T041","Mental Process"
"1323","mild intellectual disability","C0026106",6,"T048","Mental or Behavioral Dysfunction"
"1328","reduced myelination","C4228830",6,"T033","Finding"
"1332","folate deficiency","C0016412",6,"T047","Disease or Syndrome"
"1334","focal cortical dysplasia","C2938983",6,"T047","Disease or Syndrome"
"1335","stress levels","C1319127",6,"T033","Finding"
"1336","eeg abnormalities","C0151611",6,"T033","Finding"
"1338","neonatal hypoglycemia","C0158986",6,"T047","Disease or Syndrome"
"1340","elevated anxiety","C0003467",6,"T048","Mental or Behavioral Dysfunction"
"1341","fixed effects","C2188921",6,"T033","Finding"
"1342","reduced activation","C0015499",6,"T047","Disease or Syndrome"
"1344","emotional/behavioral problems","C0677660",6,"T048","Mental or Behavioral Dysfunction"
"1345","intellectual impairment","C0683322",6,"T048","Mental or Behavioral Dysfunction"
"1352","emotion regulation difficulties","C0563718",6,"T033","Finding"
"1353","medical disorders","C4237314",6,"T047","Disease or Syndrome"
"1358","difficulties with social interactions","C4015169",6,"T033","Finding"
"1359","non-verbal behaviors","C0042530",6,"T055","Individual Behavior"
"1363","depressive disorders","C0011581",6,"T048","Mental or Behavioral Dysfunction"
"1364","seckel syndrome","C0265202",6,"T047","Disease or Syndrome"
"1366","developmental disability","C0008073",6,"T048","Mental or Behavioral Dysfunction"
"1368","klinefelter syndrome","C0022735",6,"T047","Disease or Syndrome"
"1369","diabetes events","C0342312",6,"T047","Disease or Syndrome"
"1370","different psychiatric disorders","C0004936",6,"T048","Mental or Behavioral Dysfunction"
"1374","behavioral responses","C0679165",6,"T055","Individual Behavior"
"1376","deterministic condition","C4061112",6,"T033","Finding"
"1377","paternal and maternal parenting stress","C1999012",6,"T033","Finding"
"1379","seizure disorder","C0014544",6,"T047","Disease or Syndrome"
"1380","gi disorders","C0017178",6,"T047","Disease or Syndrome"
"1387","social interaction deficits","C0037420",6,"T033","Finding"
"1390","learning disorder","C0023186",6,"T048","Mental or Behavioral Dysfunction"
"1391","anxiety severity","C0231403",6,"T033","Finding"
"1392","seizure activity","C1148454",6,"T033","Finding"
"1396","low mood","C0344315",5,"T048","Mental or Behavioral Dysfunction"
"1397","increased dendritic spine density","C0029053",5,"T033","Finding"
"1398","word comprehension","C2169415",5,"T033","Finding"
"1400","crohn’s disease","C0010346",5,"T047","Disease or Syndrome"
"1402","spontaneous seizures","C4227498",5,"T033","Finding"
"1403","fragile x syndrome (fxs","C0016667",5,"T047","Disease or Syndrome"
"1404","fragile-x syndrome","C0016667",5,"T047","Disease or Syndrome"
"1413","language disorders","C0023015",5,"T048","Mental or Behavioral Dysfunction"
"1414","prader–willi syndrome","C0032897",5,"T047","Disease or Syndrome"
"1416","increased response","C0235821",5,"T033","Finding"
"1420","anxiety scores","C3483978",5,"T033","Finding"
"1423","change scores","C3257946",5,"T033","Finding"
"1424","immune dysfunction","C0021053",5,"T047","Disease or Syndrome"
"1426","neuropsychiatric disease","C0752335",5,"T047","Disease or Syndrome"
"1428","atypical sensory processing","C1850384",5,"T047","Disease or Syndrome"
"1431","ocd symptoms","C0028768",5,"T048","Mental or Behavioral Dysfunction"
"1434","diabetes mellitus","C0011849",5,"T047","Disease or Syndrome"
"1436","sdq hyperactivity","C0424295",5,"T048","Mental or Behavioral Dysfunction"
"1440","abnormal social behavior","C4021087",5,"T033","Finding"
"1450","maternal stress","C0746432",5,"T041","Mental Process"
"1455","dravet syndrome","C0751122",5,"T047","Disease or Syndrome"
"1457","poor early language outcome","C3806166",5,"T033","Finding"
"1458","neurocognitive impairments","C3810092",5,"T033","Finding"
"1459","low scores","C0549400",5,"T033","Finding"
"1460","wide variability","C1855423",5,"T033","Finding"
"1467","inappropriate behaviors","C0233522",5,"T048","Mental or Behavioral Dysfunction"
"1471","significant main effect of congruency","C0871897",5,"T041","Mental Process"
"1472","significant main effect of condition","C4062808",5,"T033","Finding"
"1473","csf abnormalities","C0151583",5,"T033","Finding"
"1477","sdq emotional problems","C0677660",5,"T048","Mental or Behavioral Dysfunction"
"1479","williams syndrome","C0175702",5,"T047","Disease or Syndrome"
"1481","dysmorphic facial features","C0424503",5,"T033","Finding"
"1482","inflammatory bowel diseases","C0021390",5,"T047","Disease or Syndrome"
"1486","metabolic syndrome","C0524620",5,"T047","Disease or Syndrome"
"1488","high-risk variants","C0332167",5,"T033","Finding"
"1489","dynamic and static facial expressions","C0015457",5,"T033","Finding"
"1491","mitochondrial enzyme activity","C3809968",5,"T033","Finding"
"1493","abnormal scores","C1112541",5,"T033","Finding"
"1496","non-disease genes","C0406665",5,"T048","Mental or Behavioral Dysfunction"
"1498","self-stigma content","C0277787",5,"T033","Finding"
"1500","stereotyped language","C0038272",5,"T041","Mental Process"
"1501","episodic recollection","C0034770",5,"T041","Mental Process"
"1504","increased premature responses","C3809204",5,"T033","Finding"
"1505","epileptiform discharges","C0429310",5,"T033","Finding"
"1509","huntington’s disease","C0020179",5,"T047","Disease or Syndrome"
"1510","stereotyped behaviours","C0038271",5,"T055","Individual Behavior"
"1514","atopic comorbidities","C0009488",5,"T033","Finding"
"1515","main effect of adhd","C1263846",5,"T048","Mental or Behavioral Dysfunction"
"1521","memory impairment","C0233794",5,"T048","Mental or Behavioral Dysfunction"
"1524","psychomotor developmental delay","C0557874",5,"T048","Mental or Behavioral Dysfunction"
"1527","property destruction","C0474405",5,"T033","Finding"
"1531","social communication impairments","C1998998",5,"T033","Finding"
"1532","complex neurodevelopmental disorder","C1535926",5,"T048","Mental or Behavioral Dysfunction"
"1533","external–internal discrepancy","C1290905",5,"T033","Finding"
"1534","hyperactivity/impulsivity symptom severity","C2231354",5,"T048","Mental or Behavioral Dysfunction"
"1542","immune system abnormalities","C0851564",5,"T047","Disease or Syndrome"
"1547","depressive symptoms","C0424136",5,"T033","Finding"
"1552","familial variables","C1840266",5,"T047","Disease or Syndrome"
"1553","self-injurious behaviour","C0085271",5,"T055","Individual Behavior"
"1554","qualitative impairment in communication","C0009460",5,"T048","Mental or Behavioral Dysfunction"
"1559","inherited intellectual disability","C3714756",5,"T048","Mental or Behavioral Dysfunction"
"1560","financial or material support","C2228818",5,"T033","Finding"
"1561","elevated risk","C0744981",5,"T033","Finding"
"1562","medical conditions","C0565879",5,"T047","Disease or Syndrome"
"1563","dental caries","C0011334",5,"T047","Disease or Syndrome"
"1564","seizure disorders","C0014544",5,"T047","Disease or Syndrome"
"1568","medical comorbidities","C0009488",5,"T033","Finding"
"1569","elevated levels","C0020459",5,"T047","Disease or Syndrome"
"1571","communication scores","C2009168",5,"T033","Finding"
"1573","increased repetitive behaviors","C1827547",5,"T033","Finding"
"1575","viral infection","C0042769",5,"T047","Disease or Syndrome"
"1576","neuropsychiatric conditions","C0752335",5,"T047","Disease or Syndrome"
"1579","m repetitive behaviour","C0038271",5,"T055","Individual Behavior"
"1580","srs-2 scores","C0175693",5,"T047","Disease or Syndrome"
"1582","reactive aggression","C0001807",5,"T055","Individual Behavior"
"1584","rare disease","C0678236",5,"T047","Disease or Syndrome"
"1587","sensory hyper-reactivity","C0424295",5,"T048","Mental or Behavioral Dysfunction"
"1589","cerebellar dysfunction","C0007760",5,"T047","Disease or Syndrome"
"1590","attention-deficit hyperactivity disorder (adhd","C1263846",5,"T048","Mental or Behavioral Dysfunction"
